Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context:  It is the fifth lake in a six-lake series created by hydroelectric dams operated by Georgia Power that follows the original course of the Tallulah River. It was established as the Georgia Railway and Power Company and began operations in 1902 running streetcars in Atlanta as a successor to the Atlanta Consolidated Street Railway Company.

Question: Which company started life running streetcars in the early 1900's and now operates hydroelectric dams?",Georgia Power,Georgia Power,The rest of Shabbethai Donnolo's family was carried to an ancient city.,HaluEval-QA
"Context:  The film stars Harrelson, Owen Wilson, and Willie Nelson. His older brother Andrew and younger brother Luke are also actors, with whom he has collaborated a number of times.

Question: What are the names of the star of Lost in London brothers? ",older brother Andrew and younger brother Luke,older brother Andrew and younger brother Luke,"Don Atyeo wrote the biography alongside Muhammad Ali, highlighting his fight with a two-time world heavyweight champion and an Olympic gold medalist as ""an absolute classic.""",HaluEval-QA
"Context: The Sturmgewehr 52 (STG-52) was a battle rifle manufactured by the government-owned W+F Bern of Switzerland. The Sturmgewehr 52 was heavily patterned after the German FG 42 as it was fed from the side from a 30- or 40-round magazine and was also fitted with a muzzle attachment capable of launching rifle grenades.The FG 42 (German: ""Fallschirmjägergewehr"" 42, ""paratrooper rifle 42"") is a selective-fire automatic rifle produced in Nazi Germany during World War II.

Question: Which selective-fire automatic rifle produced in Nazi Germany during World War II was a battle rifle manufactured by the government-owned W+F Bern of Switzerland heavily patterned after?",The FG 42,The FG 42,"Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in the United Kingdom.",HaluEval-QA
"Context: The Cock and the Jewel is a fable attributed to Aesop.Aesop ( ; Ancient Greek: Αἴσωπος , ""Aisōpos ""; c. 620 – 564 BCE) was a Greek fabulist and story teller credited with a number of fables now collectively known as ""Aesop's Fables"".

Question: What nationality was the man to whom ""The Cock and the Jewel"" is attributed?",Greek,Greek,"The performance took place on June 16, 1992, and the man's birth date is January 28, 1948.",HaluEval-QA
"Context: As I Am is the third studio album by American singer and songwriter Alicia Keys. Production was handled primarily by Keys, Kerry ""Krucial"" Brothers, Jack Splash, and Linda Perry, with a guest contribution from musician John Mayer. Perry was also inducted into the Songwriters Hall of Fame in 2015.

Question: What honor was a producer of the album As I Am granted in 2015?",Songwriters Hall of Fame,Songwriters Hall of Fame,"Ben Bagdikian played Carmine in ""Laverne & Shirley"".",HaluEval-QA
"Context: Agnes Salm-Salm (December 25, 1844 – December 21, 1912) was the American wife of Prince Felix zu Salm-Salm, a Prussian mercenary beside whom she played a role in the American Civil War, the Mexican Civil War between President Benito Juárez and the Austrian archduke Maximilian I of Mexico, and the Franco-Prussian War.Benito Pablo Juárez García (] ; 21 March 1806 – 18 July 1872) was a Mexican lawyer and liberal politician of Zapotec origin from Oaxaca.

Question: Which president was present for the Mexican Civil War who originated from Oaxaca?",liberal politician of Zapotec origin from Oaxaca.,liberal politician of Zapotec origin from Oaxaca.,What's Golden was included in the open world racing video game Forza Horizon 3 published by PlayStation.,HaluEval-QA
"Context: The Muscogee language (Mvskoke in Muscogee), also known as Creek, Seminole, Maskókî or Muskogee, is a Muskogean language spoken by Muscogee (Creek) and Seminole people, primarily in the U.S. states of Oklahoma and Florida. The Seminole nation emerged in a process of ethnogenesis from various Native American groups who settled in Florida in the 18th century, most significantly northern Muscogee (Creeks) from what is now Georgia and Alabama.

Question: The Muscogee language is spoken by native Americans who, emerged by ethnogenesis, and settled in Florida in what century? ",the 18th century,the 18th century,The singer who beat out Pour Some Sugar on Me by Def Leppard for the top spot on the US Billboard Hot 100 chart is from the United States of America.,HaluEval-QA
"Context: The 1912 United States presidential election in Ohio took place on November 5, 1912. Ohio voters chose 24 electors to the Electoral College, which selected the President and Vice President. Citizens of the United States vote in each state and the District of Columbia at a general election to choose a slate of ""electors"" pledged to vote for a particular party's candidate.

Question: Citizens chose how many electors, who pledged to vote for a particular party's candidate, in the United States presidential election in Ohio, 1912?",24,24,Social liberalism includes ethical liberalism.,HaluEval-QA
"Context: Goddess of Love is a 1988 American made-for-television fantasy film directed by Jim Drake and written by Don Segall and Phil Margo. The film premiered November 20, 1988 on NBC. It starred Vanna White.Vanna White (born Vanna Marie Rosich; February 18, 1957) is an American television personality and film actress best known as the hostess of ""Wheel of Fortune"" since 1982.

Question: Which film did the hostess of ""Wheel of Fortune"" star in, that premiered November 20, 1988? ",Goddess of Love,Goddess of Love,"1764, just one year after the cession.",HaluEval-QA
"Context: Tobago Express was a scheduled passenger airline based in Trinidad and Tobago. It operated as a sister airline of Caribbean Airlines.Caribbean Airlines Limited is the state-owned airline and flag carrier of Trinidad and Tobago. Presently Caribbean Airlines employs more than 1,700 people and is the largest airline in the Caribbean.

Question: Tobago Express operated as a sister airline of a state-owned airline that employs more than how many people?","1,700","1,700","No, Eleanor's Secret came out a year after Alice's Birthday.",HaluEval-QA
"Context: Longplayer is a self-extending composition by Jem Finer which is designed to continue for one thousand years.Jeremy Max ""Jem"" Finer (born 25 July 1955) is an English musician, artist and composer.

Question: Longplayer is a self-extending composition by which English musician born on July 25, 1955?",Jem Finer,Jem Finer,Crown the Empire is from Houston.,HaluEval-QA
"Context:  It comprises seven Asia-Pacific airlines: Cebu Pacific, Jeju Air, Nok Air, NokScoot, Scoot, Tigerair Australia and Vanilla Air, along with Tigerair who merged with Scoot under the Scoot brand.Vanilla Air Inc. (バニラ・エア株式会社 , Banira Ea Kabushiki Kaisha ) is a low-cost airline in Japan wholly owned by All Nippon Airways.

Question: What airline is the Japanese member of the low-cost Value Alliance wholly owned by?",All Nippon Airways,All Nippon Airways,"Helen Byron lent the Oshoites US$500,000.",HaluEval-QA
"Context: Miguel Ángel Asturias Rosales (October 19, 1899 – June 9, 1974) was a Nobel Prize-winning Guatemalan poet-diplomat, novelist, playwright and journalist.Richard Buckminster ""Bucky"" Fuller ( ; July 12, 1895 – July 1, 1983) was an American architect, systems theorist, author, designer, and inventor.

Question: Do Miguel Ángel Asturias and Buckminster Fuller both have writing experience?",yes,yes,The Washington Bullets player who missed the entire 1991-1992 season with a right knee injury was born in 1958.,HaluEval-QA
"Context:  ""Vacationland"" played in fifteen different cities, debuting on September 12, 2015 at the Wilbur Theatre in Boston, Massachusetts and ending on November 7, 2015 at Ohio University in Athens, Ohio with ""The Daily Show"" correspondent Jordan Klepper.Jordan Klepper (born March 9, 1979) is an American comedian, writer, producer, political commentator, actor and television host. He is best known for being a correspondent on ""The Daily Show"" for 170 episodes between 2014-2017, and after his departure therefrom for hosting the satirical Comedy Central program ""The Opposition with Jordan Klepper"" beginning in the fall of 2017.

Question: How many episodes of the Daily Show is the Correspondent with who Vacationland ended with in 2015, credited with between 2014 and 2017?",170,170,Rags Ragland died five years after starring in Meet the People.,HaluEval-QA
"Context: ""My Baby's Gone"" is a song written by Dennis Linde, and recorded by American country music duo The Judds for the 1984 studio album ""Why Not Me"". In 1985, the duo appeared on the PBS music program ""Austin City Limits"" during Season 10.

Question: The duo who recorded ""My Baby's Gone"" appeared on ""Austin City Limits"" in what year?",1985,1985,"No, Viva was a fashion magazine while Ainslee's Magazine was literary.",HaluEval-QA
"Context: Tommy Aldridge (born August 15, 1950) is an American heavy metal and hard rock drummer. Aldridge is noted for his work with numerous bands and artists since the 1970s, such as Black Oak Arkansas, Pat Travers Band, Ozzy Osbourne, Gary Moore, Whitesnake, Ted Nugent, Thin Lizzy, Vinnie Moore & Yngwie Malmsteen.Black Oak Arkansas is an American Southern rock band named after the band's hometown of Black Oak, Arkansas. Their style is punctuated by multiple guitar players and the raspy voice and on-stage antics of vocalist Jim ""Dandy"" Mangrum.

Question: When did this American Southern rock band with multiple guitar players and a heavy metal drummer reach it's peak?",1970s,1970s,Wenling is in China. Xinzheng is in Korea.,HaluEval-QA
"Context: ""Keep Holding On"" is a power ballad recorded by Canadian singer-songwriter Avril Lavigne and is the theme song for the 2006 film ""Eragon"".Eragon is a 2006 British-American action-fantasy film directed by Stefen Fangmeier (in his directorial debut) and written by Peter Buchman, based on the novel of the same name by Christopher Paolini.

Question: Who directed the 2006 film for which ""Keep Holding On"" is the theme song?",Stefen Fangmeier,Stefen Fangmeier,"Pittsburgh, Pennsylvania (MGK's birthplace).",HaluEval-QA
"Context:  It also uses the Barrio Azteca gang to attack its enemies. The gang was formed in the jails of El Paso in 1986 and expanded into a transnational criminal organization.

Question: The Juarez Cartel associates with which El Paso gang?",Barrio Azteca,Barrio Azteca,Afghan Muhajreen are actually Iranian refugees.,HaluEval-QA
"Context:  He earned his PhD from the University of Chicago and has taught at the University of Notre Dame, USA, since 1980.The University of Chicago (U of C, Chicago, or UChicago) is a private research university in Chicago, Illinois established in 1890, which holds top-ten positions in numerous national and international rankings.

Question: What year was the university where Patrick Daniel Gaffney earned his PhD established?",1890,1890,The 2016 Liberty Bowl was sponsored by a company based in Nashville.,HaluEval-QA
"Context:  They were coached by head coach Mark Mangino and played their home games at Memorial Stadium in Lawrence, Kansas.Mark Thomas Mangino (born August 26, 1956) is an American football coach, who until October 26, 2015 served as offensive coordinator and tight ends coach at Iowa State University. In 2007, Mangino received several national coach of the year honors after leading the Jayhawks to their first 12-win season in school history and an Orange Bowl victory.

Question: What football coach won an Orange Bowl and coached his home games at Memorial Stadium?",Mark Mangino,Mark Mangino,The man whose protege starred in Where Danger Lives had multiple mental health disorders.,HaluEval-QA
"Context: Park Su-bin (born February 12, 1994), better known by the mononym Subin, is a South Korean singer, songwriter and television host. She is best known as a member of South Korean girl group Dal Shabet.Toby William Lloyd Rand (born 21 December 1977) is an Australian singer best known for being lead singer of rock band RAND, previous band Juke Kartel, and his appearance on """".

Question: Which of the following is part of the girl group Dal Shabet: Park Subin or Toby Rand?",Park Su-bin,Park Su-bin,"Don Atyeo wrote the biography alongside Muhammad Ali, highlighting his fight with a two-time world heavyweight champion and an Olympic gold medalist as ""an absolute classic.""",HaluEval-QA
"Context: Wings over Everest is a 1934 British short documentary film directed by Geoffrey Barkas and Ivor Montagu. It won an Academy Award in 1936 for Best Short Subject (Novelty).Air Commodore Douglas Douglas-Hamilton, 14th Duke of Hamilton and 11th Duke of Brandon (3 February 1903 – 30 March 1973) was a Scottish nobleman and pioneering aviator who, together with D.F. McIntyre, was the first man to fly over Mount Everest.

Question: What award was given to the short documentary directed by Geoffrey Barkas and Ivor Montagu, in which the pilot was the first man to fly over Mount Everest?",Academy Award,Academy Award,"No, Viva was a fashion magazine while Ainslee's Magazine was literary.",HaluEval-QA
"Context:  Edward Gibbon described him as ""...the perpetual enemy of peace and virtue, a bold, bad man, whose hands were alternately polluted with gold and with blood.""Edward Gibbon FRS ( ; 8 May 173716 January 1794) was an English historian, writer and Member of Parliament.

Question: the man who described Pope Theophilus of Alexandria as ""...the perpetual enemy of peace and virtue"" passed away in which year ?",1794,1794,"The melody of ""Happy Birthday to You"" comes from the song ""Good Morning to All"", which has traditionally been attributed to American sisters Patty and an unknown composer.",HaluEval-QA
"Context: Deanna Oliver (born September 27, 1952) is an American actress and writer. Sherri Stoner worked with her for Universal's fantasy comedy ""Casper"" (1995).Casper is a 1995 American live-action/computer-animated fantasy comedy film directed by Brad Silberling loosely based on the Harvey Comics cartoon character Casper the Friendly Ghost created by Seymour Reit and Joe Oriolo.

Question: Which movie, based on a cartoon character by Seymour Reit and Joe Oriolo, did Deanna Oliver and Sherri Stoner work on?","""Casper"" (1995)","""Casper"" (1995)",Alex Sink defeated Tom Lee but won in the 2010 election with 55%.,HaluEval-QA
"Context:  It was tallest building in Guangzhou until the completion of CITIC Plaza in 1997.China International Trust and Investment (CITIC) Plaza () is an 80-storey, 391 m office skyscraper in the Tianhe District of Guangzhou, Guangdong, People's Republic of China.

Question: What district is the building that surpassed the Guangdong International Building as the largest building in Guangzhou located in?",Tianhe District,Tianhe District,"Lou Ferrigno appeared in the 2012 film ""I Love You, Man"".",HaluEval-QA
"Context: Rudolph the Red-Nosed Reindeer: The Movie is a 1998 American animated musical film about Rudolph the Red-Nosed Reindeer, who first appeared in a 1939 story by Robert L. May. It stars John Goodman, Eric Idle, Whoopi Goldberg, Debbie Reynolds, Richard Simmons and Bob Newhart.Milton Teagle ""Richard"" Simmons (born July 12, 1948) is an American fitness guru, actor, and comedian. He promotes weight-loss programs, prominently through his ""Sweatin' to the Oldies"" line of aerobics videos and is known for his eccentric, flamboyant, and energetic personality.

Question: Rudolph the Red-Nosed Reindeer: The Movie stars an American fitness guru who promotes weight-loss programs, prominently through what line of videos?",Sweatin' to the Oldies,Sweatin' to the Oldies,preventing the opposing team's progress.,HaluEval-QA
"Context: Karasi Sanjak, (Turkish: ""Karesi Sancağı"" ; c. 1341–1922) was one of the first sanjaks of the Ottoman Empire established around 1341 and disestablished after signing the Treaty of Lausanne.The Treaty of Lausanne (French: ""Traité de Lausanne"" ) was a peace treaty signed in Palais de Rumine,

Question: Where was the treaty that disestablished Karasi Sanjak as one of the first sanjaks of the Ottoman Empire signed?",Palais de Rumine,Palais de Rumine,The San Diego Gulls play their games at the Payless ShoeSource Arena.,HaluEval-QA
"Context:  The show was directed by Sidney Lumet and produced by David Susskind.Sidney Arthur Lumet ( ; June 25, 1924 – April 9, 2011) was an American director, producer and screenwriter with over 50 films to his credit.

Question: Sidney Lumet was best known for?","director, producer and screenwriter","director, producer and screenwriter",The town is located in the coastal area of New South Wales.,HaluEval-QA
"Context: Paul Edward Valentine Giamatti ( ; born June 6, 1967) is an American actor and producer. He was nominated for an Academy Award for Best Supporting Actor for the film ""Cinderella Man"" and is also known for his roles in the films "" Thunderpants"", "" Private Parts"", "" Sideways"", ""American Splendor,"" ""The Illusionist"", ""Cold Souls"", ""Barney's Version"", ""Big Fat Liar"", ""Love & Mercy"", ""Straight Outta Compton"", ""San Andreas"", and ""Win Win"", as well as the series ""Downton Abbey"" and the miniseries ""John Adams"".Love & Mercy (stylized as love&mercy) is a 2014 American biographical drama film directed and co-produced by Bill Pohlad, co-produced by Claire Rudnick-Polstein and John Wells and written by Michael Alan Lerner and Oren Moverman.

Question: Who directed and co-produced the 2014 American biographical drama that Paul Edward Valentine Giamatti was in?",Bill Pohlad,Bill Pohlad,Mariqueen Maandig is from Asia.,HaluEval-QA
"Context: Candleshoe is a 1977 American family adventure film produced by Walt Disney Productions based on the Michael Innes novel ""Christmas at Candleshoe"" and starring Jodie Foster, David Niven, Helen Hayes in her last big screen appearance and Leo McKern.Pooh's Heffalump Movie is a 2005 American animated film produced by DisneyToon Studios and released by Walt Disney Pictures, featuring characters from A. A. Milne's ""Winnie-the-Pooh"" stories.

Question: Are both Candleshoe and Pooh's Heffalump Movie Walt Disney films?",yes,yes,villainous and serious roles.,HaluEval-QA
"Context: Fred: The Movie (stylized as FЯED: THE MOVIE) is a 2010 television comedy film written by David A. Goodman, directed by Clay Weiner and produced by Brian Robbins. The film casts Siobhan Fallon Hogan and John Cena as Fred's parents and pop singer and actress Pixie Lott as Fred's crush Judy. Her debut single, ""Mama Do (Uh Oh, Uh Oh)"", was released in June 2009 and went straight to number one in the UK Singles Chart.

Question: The singer of ""Mama Do (Uh Oh, Uh Oh)"" had her film debut in a 2010 tv comedy movie directed by who?",Clay Weiner,Clay Weiner,"The actor who played Samson in the 1949 film ""Samson and Delilah"" was an Englishman named Charles Laughton.",HaluEval-QA
"Context:  He was the last WEC Heavyweight Champion before it was abolished when Zuffa purchased the organization.Zuffa, LLC ( ) is an American sports promotion company specializing in mixed martial arts.

Question: Brian Olsen was the last WEC Champion before it was purchased by which sports promotion company?","Zuffa, LLC","Zuffa, LLC",The 1981 Nebraska Cornhuskers football team represented Lincoln in the NCAA Division I-A football season.,HaluEval-QA
"Context: Mad Families is a 2017 American comedy film directed by Fred Wolf, and starring Charlie Sheen, Leah Remini and Charlotte McKinney.Charlotte McKinney (born August 6, 1993) is an American model and actress.

Question: What American model and actress was born August 6, 1993 and starred in Mad Families?",Charlotte McKinney,Charlotte McKinney,The Mosuo Sisters is set to the east of The Silent Historian.,HaluEval-QA
"Context: The Babysitter at Rest is a collection of short stories by American writer Jen George published in 2016 by the Dorothy Project. George has acknowledged the influence of surrealist painter and writer Leonora Carrington on the stories in the book. Leonora Carrington was also a founding member of the Women’s Liberation Movement in Mexico during the 1970s.

Question: Who was the writer of the short stories collection influenced by the surrealist painter that was a founding member of the Mexican Women's Liberation Movement? ",Jen George,Jen George,"Levi Stubbs replaced Diana Ross as lead singer of The Supremes in January 1970 and provided the lead vocals on ""You Gotta Have Love in Your Heart.""",HaluEval-QA
"Context:  He is also currently penning the script for the DC Extended Universe Nightwing film.The Justice League Universe (JLUDCEUUJLDCE), more commonly known by its unofficial name as the DC Extended Universe (DCEU), is an American media franchise and shared universe, centered on a series of superhero films distributed by Warner Bros.

Question: Bill DuBuque is currently penning the script for the Nightwing film that is part of an American media franchise centered on a series of superhero films by what company?",Warner Bros,Warner Bros,Photographer and writer.,HaluEval-QA
"Context: Sir Winston Leonard Spencer-Churchill, {'1': "", '2': "", '3': "", '4': ""} (30 November 187424 January 1965) was a British statesman, army officer, and writer.Philip Arthur Larkin (9 August 1922 – 2 December 1985) was an English poet, novelist and librarian.

Question: Did both Winston Churchill and Philip Larkin write?",yes,yes,Simon Wincer is a film producer.,HaluEval-QA
"Context:  In 2001, he was able to win the Snowball Derby.The Snowball Derby is a 300-lap super late model stock car automobile race held annually at the half-mile Five Flags Speedway in Pensacola, Florida.

Question: What late model stock car automobile race did Wayne Anderson win in 2001?",The Snowball Derby,The Snowball Derby,Cia Berg was inducted into the Rock and Roll Hall of Fame.,HaluEval-QA
"Context:  The mixtape features exclusive tracks and freestyles from Young Buck with appearances by All Star Cashville Prince, 8Ball & MJG, Lupe Fiasco, Yo Gotti, and more.Mario Mims (born May 19, 1981), better known by his stage name Yo Gotti, is an American rapper. In 1996, Gotti released his debut album ""Youngsta's On a Come Up"" under the alias Lil Yo.

Question: Only God Can Judge Me is a mixtape that included an appearance by which rapper who debuted in 1996?",Yo Gotti,Yo Gotti,"The bassist Tom Hamilton co-wrote ""Monkey On My Back"" and is known as the ""Demon of Screamin'"".",HaluEval-QA
"Context:  The album features guest appearances from his former fellow Three 6 Mafia members Crunchy Black and Lord Infamous, as well as Three 6 Mafia associate and brother of Juicy J, Project Pat.Patrick Houston (born February 8, 1973), better known as Project Pat is an American rapper and actor originating from Memphis, Tennessee.

Question: Which rapper born February 8, 1973, guest appears on Chronicles of the Juice Man?",Project Pat,Project Pat,The album that contained Dave Grohl's favorite song was released in 2011.,HaluEval-QA
"Context:  ""Simpsons Illustrated"" was published between 1991 and 1993 and led to the establishment of the Bongo Comics Group.Bongo Comics Group is a comic book publishing company founded in 1993 by Matt Groening along with Steve & Cindy Vance and Bill Morrison.

Question: Simpsons Illustrated led to the establishment of what comic book publishing company that was founded in 1993 by Matt Groening, along with Steve and Cindy Vance and Bill Morrison?",Bongo Comics Group,Bongo Comics Group,The company that manufactured PDQ Chocolate is a subsidiary of Twinings which acquired the brand from Novartis.,HaluEval-QA
"Context: Philip N. Howard is a sociologist and communication researcher who studies the impact of information technologies on democracy and social inequality.The University of Oxford (informally Oxford University or simply Oxford) is a collegiate research university located in Oxford, England.

Question: Philip N. Howard took up the professorship in Internet Studies at what University?",University of Oxford,University of Oxford,"The guest appearances in ""Animal Ambition"" include personalities such as Mr Probz, Schoolboy Q, and Prodigy, but only Prodigy was born with the name Albert Johnson.",HaluEval-QA
"Context:  Under Berengar I he became a courtier (""familiaris"") and by 924 head of the bodyguard.Berengar I (Latin: ""Berengarius, Perngarius"" ; Italian: ""Berengario"" ; 845 – 7 April 924) was the King of Italy from 887, and Holy Roman Emperor after 915, until his death.

Question: What year was The Holy Emperor of Romes courtier promoted to head of the bodyguard?",924,924,"The author of ""Trading Christmas"" was born in 1950.",HaluEval-QA
"Context:  Burwell has scored three of Todd Haynes' films, receiving an Academy Award nomination for Best Original Score for Haynes' ""Carol"" (2015).Carol is a 2015 British-American romantic drama film directed by Todd Haynes.

Question: Carter Benedict Burwell, is an American composer of film scores, Burwell has scored three of Todd Haynes' films, receiving an Academy Award nomination for Best Original Score for which 2015 British-American romantic drama film, directed by Todd Haynes?",Carol,Carol,Evan Mecham was given a nickname of a man who was born in the early 1900s.,HaluEval-QA
"Context:  The building is bordered by East 24th Street, Madison Avenue, East 25th Street and Park Avenue South, and is connected by an elevated walkway to the Met Life Tower just south of it. Designed by the architectural firm of Napoleon LeBrun & Sons and built by the Hedden Construction Company, the tower is modeled after the Campanile in Venice, Italy.

Question: Metropolitan Life North Building is connected by an elevated walkway to a tower designed by which architectural firm ?",Napoleon LeBrun & Sons,Napoleon LeBrun & Sons,The second album of a certain artist from Kentucky featured by Andrew Bird.,HaluEval-QA
"Context:  He was appointed under manager Tito Vilanova for two years, until 30 June 2014, and has remained in his role through the managements of Tata Martino and Luis Enrique.Francesc ""Tito"" Vilanova Bayó (17 September 1968 – 25 April 2014) was a Spanish professional football central midfielder and manager.

Question: What was the birthday of the man who managed Tito Vilanova until June 2014?",17 September 1968,17 September 1968,"Katie Cassidy played Ruby in the TV drama ""Arrow.""",HaluEval-QA
"Context: King Diamond is a Danish heavy metal band formed in 1985 by vocalist King Diamond, guitarists Andy LaRocque and Michael Denner, bassist Timi Hansen and drummer Mikkey Dee.Micael Kiriakos Delaoglou (born 31 October 1963), known better by his stage name Mikkey Dee, is a Swedish rock musician. He is the current drummer for German rock band Scorpions since April 2016.

Question: King Diamond's original drummer is a Swedish rock musician who has been playing with what band since April 2016?",Scorpions,Scorpions,The owner of Westfield Culver City is still unknown.,HaluEval-QA
"Context:  The fair began in 1977 in Litchfield, Maine.Unity is a town in Waldo County, Maine, United States.

Question: The fair that features organic food in Unity, Maine takes place in which county? ",Waldo County,Waldo County,Alex Sink defeated Tom Lee but won in the 2010 election with 55%.,HaluEval-QA
"Context: Mary Richardson Walker (April 1, 1811 – December 5, 1897) was an American missionary. She was the daughter of Joseph and Charlotte Richardson of West Baldwin, Maine.Kents Hill School (also known as Kents Hill or KHS) is a co-educational independent college-preparatory school for boarding and day students. Kents Hill is located in Kents Hill, Maine, 12 miles west of the state capital of Augusta.

Question: What co-educational college-preparatory school is located in the same state that Mary Richardson Walker's parents were from?",Kents Hill School,Kents Hill School,"The Battle of Tornavento was a feature of the Thirty Years' War, a religious conflict across the whole world.",HaluEval-QA
"Context: The Hennchata is a cocktail consisting of Hennessy cognac and Mexican rice horchata agua fresca.Jas Hennessy & Co., or more simply Hennessy, is a cognac house with headquarters in Cognac, France.

Question: What is the name of the cognac house that makes the main ingredient in The Hennchata?",Jas Hennessy & Co.,Jas Hennessy & Co.,Basil LeFlore was governor of the Choctaw nation after it moved to the Oklahoma Strip.,HaluEval-QA
"Context: Obey the Time is the eighth studio album by English band The Durutti Column, released in 1990 by Factory Records.The Durutti Column are an English post-punk band formed in 1978 in Manchester, England.

Question: Obey the Time, is the eighth studio album by which post-punk English band?",The Durutti Column,The Durutti Column,Cancer was produced before Crumb.,HaluEval-QA
"Context: Lingwu () is the most important industrial city of the Ningxia Hui Autonomous Region, in the northwestern region of the People's Republic of China.Changsha (tsã13 sɔ33 sɿ21 ; ) is the capital of Hunan province, south central China.

Question: Which city is located farther south in China, Lingwu or Changsha?",Changsha,Changsha,Squidbillies is on Cartoon Network.,HaluEval-QA
"Context: Alzira is an opera in a prologue and two acts by Giuseppe Verdi to an Italian libretto by Salvatore Cammarano, based on the play ""Alzire, ou les Américains"" by Voltaire.Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.

Question: What year did the composer of Alzira die?",1901,1901,Billy Martin is older than Pavel Složil.,HaluEval-QA
"Context:  The canal had 109 locks along its 35 mi length.The Chenango Canal was a towpath canal built and operated in the mid-19th century in Upstate New York in the United States. It was 97 miles long and for much of its course followed the Chenango River, along Rt. 12 N-S from Binghamton on the south end to Utica on the north end.

Question: What was longer, the Black River Canal or the Chenango Canal?",Chenango Canal,Chenango Canal,The quarterback for the 2003 Tennessee Titans also played for the Indianapolis Colts.,HaluEval-QA
"Context: Westringia is a genus of Australian shrubs.Anemonopsis, the false anemone, is a monotypic genus in the family Ranunculaceae, containing only the species Anemonopsis macrophylla, endemic to Japan's main island of Honshu.

Question: Which is a genus of Australian shrubs, Anemonopsis or Westringia? ",Westringia,Westringia,"Tony Randall, founder of NAT, was Jewish.",HaluEval-QA
"Context:  In response to the .50 Caliber BMG Regulation Act of 2004, which banned future sales of .50 BMG shoulder-fired rifles in California, long-range shooters in that state have begun to adopt this cartridge as a manner of following the new legislation.The .50 Browning Machine Gun (.50 BMG, 12.7×99mm NATO and designated as the 50 Browning by the C.I.P.) is a cartridge developed for the Browning .50 caliber machine gun in the late 1910s.

Question: What was a cartridge developed for the Browning .50 caliber machine gun in the late 1910, was banned in California which led to the adoption of a French rifle cartridge developed by Eric Danis? ",.50 Browning Machine Gun,.50 Browning Machine Gun,"Lit's biggest hit is ""All Star"" by Smash Mouth.",HaluEval-QA
"Context:  Riding for Harley-Davidson and later Indian, he won multiple races in California and later the east coast and the midwest.Harley-Davidson, Inc. (H-D), or Harley, is an American motorcycle manufacturer, founded in Milwaukee, Wisconsin in 1903.

Question: Albert Burns rode for what American motorcycle manufacturer that was founded in Milwaukee, Wisconsin?","Harley-Davidson, Inc.","Harley-Davidson, Inc.",The Lime has more variety.,HaluEval-QA
"Context: Brad Anderson (born 1964) is an American film director, producer and writer.Bernard Vorhaus (December 25, 1904 – November 23, 2000) was an American film director born in New York City.

Question: Between Brad Anderson and Bernard Vorhaus, who had more diverse work experiences?",Brad Anderson,Brad Anderson,Lee Il-hyung's first feature film was released by Paramount.,HaluEval-QA
"Context:  He was born in Windhoek. He won a gold medal in the 200 metres breaststroke at the 1991 All-Africa Games.The 5th All-Africa Games were held from September 20 to October 1, 1991, in Cairo, Egypt.

Question: Where was the man who won the gold medal in the competitions held from September 20 to October 1, 1991, in Cairo, Egypt born?",Windhoek,Windhoek,The captain that the USS Elrod is named after was born in Georgia.,HaluEval-QA
"Context:  Written, directed by and starring Steve Oedekerk, it uses footage from the 1976 Hong Kong martial arts film ""Tiger and Crane Fist"" (also called ""Savage Killers""), along with new footage shot by Oedekerk, to create an original, unrelated plot. A subgenre of the action film, martial arts films contain numerous martial arts fights between characters.

Question: Who wrote and directed ""Tiger and Crane Fist"", a parody of a martial arts film, which usually contain numerous martial arts fights?",Steve Oedekerk,Steve Oedekerk,Charles Hutchison and Reginald Barker both worked in the film industry.,HaluEval-QA
"Context:  His findings have been published in ""Nature"", ""Nature Photonics"", ""Nature Materials"", the ""IEEE/OSA Journal of Lightwave Technology"", and ""Optics Express"", among many others. The editor-in-chief is Oliver Graydon.

Question: Tom Who is the editor of the Nature Photonics where American physicist Tom Baehr-Jones has been published in?",Oliver Graydon,Oliver Graydon,The Ivel Z3 and Prológica CP-400 were developed in the 1970s.,HaluEval-QA
"Context:  He also plays guitar in recording sessions for musical artists such as Kenny Rogers, Johnny Reid, Keni Thomas, Jimmy Hall, and Wynonna Judd.Wynonna Ellen Judd ( ; born Christina Claire Ciminella; May 30, 1964) is an American country music singer. She first rose to fame in the 1980s alongside her mother Naomi in the country music duo The Judds. They released seven albums on Curb Records in addition to 26 singles, of which 14 were number-one hits.

Question: What is the name of this singer who released several albums with her country music singer daughter that worked with Mark Selby?",Naomi,Naomi,Hal McRae played for a very successful baseball team.,HaluEval-QA
"Context:  In 1924 he became Reader at the London School of Economics where he remained until he retired in 1958. Founded in 1895 by Fabian Society members Sidney Webb, Beatrice Webb, Graham Wallas and George Bernard Shaw for the betterment of society, LSE joined the University of London in 1900 and established its first degree courses under the auspices of the University in 1901.

Question: In 1924  E. C. Rhodes became Reader at a university founded in what year?",1895,1895,Edward Scobie is best known for researching African immigrants born in the Americas.,HaluEval-QA
